task	difficulty	category	tags	docker_image
qemu-alpine-ssh	medium	system-administration	sys-admin	alexgshaw/qemu-alpine-ssh:20251031
qemu-startup	medium	system-administration	sys-admin	alexgshaw/qemu-startup:20251031
query-optimize	medium	data-science	query-optimization,sql-query	alexgshaw/query-optimize:20251031
raman-fitting	medium	scientific-computing	coding,fitting,analysis,physics	alexgshaw/raman-fitting:20251031
regex-chess	hard	software-engineering	software-engineering	alexgshaw/regex-chess:20251031
regex-log	medium	data-processing	regex,string-parsing,log-analysis	alexgshaw/regex-log:20251031
reshard-c4-data	medium	data-science	coding,data-processing,file-operations	alexgshaw/reshard-c4-data:20251031
rstan-to-pystan	medium	data-science	pystan,rstan,gaussian-process	alexgshaw/rstan-to-pystan:20251031
sam-cell-seg	hard	data-science	image-processing,machine-learning,histopathology	alexgshaw/sam-cell-seg:20251031
sanitize-git-repo	medium	security	security,system,version-control	alexgshaw/sanitize-git-repo:20251031
schemelike-metacircular-eval	medium	software-engineering	software-engineering	alexgshaw/schemelike-metacircular-eval:20251031
sparql-university	hard	data-querying	knowledge-graph,sparql-query,information-retrieval	alexgshaw/sparql-university:20251031
sqlite-db-truncate	medium	debugging	file-operations	alexgshaw/sqlite-db-truncate:20251031
sqlite-with-gcov	medium	system-administration	software-installation,system	alexgshaw/sqlite-with-gcov:20251031
torch-pipeline-parallelism	hard	software-engineering	system	alexgshaw/torch-pipeline-parallelism:20251031
torch-tensor-parallelism	hard	software-engineering	system	alexgshaw/torch-tensor-parallelism:20251031
train-fasttext	hard	model-training	data-processing,data-science	alexgshaw/train-fasttext:20251031
tune-mjcf	medium	scientific-computing	mujoco,physics,simulation,numerical-optimization	alexgshaw/tune-mjcf:20251031
video-processing	hard	video-processing	video-processing	alexgshaw/video-processing:20251031
vulnerable-secret	medium	security	security,file-operations	alexgshaw/vulnerable-secret:20251031
winning-avg-corewars	medium	software-engineering	pmars,corewars,gaming	alexgshaw/winning-avg-corewars:20251031
